step,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
1,-0.048155511,0.033856138,-0.028778,0.11831,0.00373,0.402363,0.282612,8.344248
2,-0.032137217,0.034128913,-0.042235,0.079273,-0.008527,0.273032,0.289797,8.487949
3,-0.045609556,0.030241912,-0.03544,0.083803,0.001732,0.383203,0.253872,8.392148
4,-0.046279622,0.038082278,-0.034107,0.086468,-0.000933,0.390388,0.320933,8.423284
5,-0.048280667,0.033914008,-0.037172,0.063818,0.000933,0.409548,0.287402,8.471184
6,-0.048171553,0.043401624,-0.042501,0.060887,0.000133,0.407153,0.366438,8.437654
7,-0.044858466,0.040069556,-0.038371,0.072611,0.001998,0.378413,0.337698,8.423284
8,-0.045995988,0.042301284,-0.039836,0.067948,-0.000933,0.383203,0.352068,8.317903
9,-0.051275833,0.055674455,-0.035839,0.104321,0.001998,0.426313,0.462239,8.293953
10,-0.049411872,0.049758504,-0.037971,0.081138,0.002132,0.414338,0.416733,8.368198
11,-0.042055657,0.043525506,-0.037305,0.076475,0.000533,0.352068,0.364043,8.358618
12,-0.048238284,0.039430705,-0.036239,0.080739,0.000933,0.404758,0.330513,8.377778
13,-0.048660568,0.040499262,-0.035573,0.080206,0.001599,0.411943,0.342488,8.452024
14,-0.049592526,0.040284777,-0.037838,0.080605,-0.000666,0.419128,0.340093,8.437654
15,-0.051204299,0.035881972,-0.037039,0.082204,0.002398,0.431104,0.301772,8.406519
16,-0.044963944,0.038169019,-0.036372,0.079939,0.0004,0.378413,0.320933,8.404123
17,-0.051597564,0.037824415,-0.037305,0.07914,0.0004,0.438289,0.320933,8.480764
18,-0.047334629,0.037167146,-0.036772,0.079273,0.001599,0.399968,0.313748,8.437654
19,-0.051576898,0.038300917,-0.036639,0.081804,0.000799,0.435894,0.323328,8.437654
20,-0.04796284,0.038974357,-0.035839,0.088466,0.000533,0.407153,0.330513,8.475974
21,-0.044755723,0.02648016,-0.038771,0.082471,-0.001466,0.380808,0.225132,8.499925
22,-0.054360939,0.037418764,-0.033441,0.070746,0.001199,0.459844,0.316143,8.444839
23,-0.043323468,0.043364183,-0.03544,0.076342,0.001998,0.364043,0.364043,8.389753
24,-0.046117117,0.033415283,-0.038371,0.086601,0.002931,0.390388,0.282612,8.454419
25,-0.046187987,0.04336361,-0.035307,0.087533,0.002265,0.385598,0.361648,8.334668
26,-0.042255406,0.034341929,-0.035839,0.083137,-0.0004,0.356858,0.289797,8.435259
27,-0.044414118,0.034478874,-0.035973,0.079406,-0.002265,0.373623,0.289797,8.401729
28,-0.052134749,0.041072803,-0.035573,0.080339,0.000533,0.438289,0.344883,8.392148
29,-0.041929564,0.038845735,-0.038771,0.080072,0.000666,0.354463,0.328118,8.442444
